Acme Widgets Ltd
Ledger Report: Mar:2022/23 to Jan:2024/25

	1000: Main Bank Account				GST	TC	Debit	Credit	Balance
				Opening Balance					0.00 DB
1	CP	2024-01-01	AP	Newton Properties: Rent	0.00		0.00	2,088.28	2,088.28 CR
1	CR	2024-01-01		Ralph Bigshot: Capital - 5000 shares	0.00		5,000.00	0.00	2,911.72 DB
1	CP	2024-01-02	100201	Dymocks: Paper, fax rolls etc	0.00		0.00	90.00	2,821.72 DB
1	CR	2024-01-07		Sales	0.00		6,142.50	0.00	8,964.22 DB
1	CP	2024-01-08	100202	Newton Superette: Office Supplies	0.00		0.00	25.31	8,938.91 DB
1	CP	2024-01-10	100203	Herman Melville: Casual Wages	0.00		0.00	742.50	8,196.41 DB
1	CR	2024-01-10		Henry's Auto Repairs: Sale	0.00		4,331.25	0.00	12,527.66 DB
1	CR	2024-01-14		Sales	0.00		6,756.75	0.00	19,284.41 DB
1	CR	2024-01-17		Sales	0.00		4,894.31	0.00	24,178.72 DB
1	CP	2024-01-18	100204	Dymocks: Envelopes	0.00		0.00	28.12	24,150.60 DB
1	CP	2024-01-20	100209	Newton Transport: Deliveries	0.00		0.00	152.64	23,997.96 DB
1	CP	2024-01-20	100208	Telecom: Phone - Dec	0.00		0.00	512.72	23,485.24 DB
1	CP	2024-01-20	100207	Radio Newton: Advertising	0.00		0.00	675.00	22,810.24 DB
1	CP	2024-01-20	100206	Newton Standard: Advertising	0.00		0.00	1,406.25	21,403.99 DB
1	CP	2024-01-20	100205	Newton Council: Rates	0.00		0.00	843.75	20,560.24 DB
1	CP	2024-01-20	AP	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	20,471.53 DB
1	CP	2024-01-20	AP	Newton Power & Light: Power	0.00		0.00	145.07	20,326.46 DB
1	CP	2024-01-20	100214	Western Widgets: Widget Purchases - Dec	0.00		0.00	5,267.64	15,058.82 DB
1	CP	2024-01-20	100213	Widgets International: Widget Purchases - Dec	0.00		0.00	14,269.93	788.89 DB
1	CP	2024-01-20	100212	Newton Distributors: Widget Purchases - Dec	0.00		0.00	9,513.28	8,724.39 CR
1	CP	2024-01-20	100211	Newton Garden Restaurant: Lunch with Bill	0.00		0.00	73.98	8,798.37 CR
1	CP	2024-01-20	100210	Post Haste: Courier	0.00		0.00	68.06	8,866.43 CR
1	CR	2024-01-21		Widget Recycling: Sale	0.00		5,743.24	0.00	3,123.19 CR
1	CP	2024-01-22	100215	Newton Superette: Office Supplies	0.00		0.00	22.50	3,145.69 CR
1	CP	2024-01-24	100216	Herman Melville: Casual Wages	0.00		0.00	540.00	3,685.69 CR
1	CR	2024-01-24		Brown Brothers: Sale	0.00		4,404.88	0.00	719.19 DB
1	CR	2024-01-28		Jo's Bargain House: Sale	0.00		9,763.50	0.00	10,482.69 DB
1	CP	2024-01-30	AP	Bank: Bank Fees	0.00		0.00	25.31	10,457.38 DB
1	CR	2024-01-30		Sales	0.00		5,726.35	0.00	16,183.73 DB
1	CP	2024-02-01	AP	Ralph Bigshot: Monthly Drawings	0.00		0.00	2,812.50	13,371.23 DB
1	CP	2024-02-01	AP	Newton Properties: Rent	0.00		0.00	2,088.28	11,282.95 DB
1	CR	2024-02-04		Sales	0.00		5,858.10	0.00	17,141.05 DB
1	CP	2024-02-04	100217	Newton Stationers: Stationery	0.00		0.00	37.69	17,103.36 DB
1	CR	2024-02-07		Sales	0.00		5,153.72	0.00	22,257.08 DB
1	CP	2024-02-07	100219	Herman Melville: Casual Wages	0.00		0.00	663.75	21,593.33 DB
1	CP	2024-02-07	100218	Newton Superette: Office Supplies	0.00		0.00	23.91	21,569.42 DB
1	CR	2024-02-11		Sales	0.00		7,029.72	0.00	28,599.14 DB
1	CP	2024-02-11	100220	Newton Stationers: Stationery	0.00		0.00	16.31	28,582.83 DB
1	CR	2024-02-14		Charles Horse: Sale	0.00		5,669.09	0.00	34,251.92 DB
1	CR	2024-02-18		Sales	0.00		9,419.83	0.00	43,671.75 DB
1	CP	2024-02-20	100221	Newton Superette: Office Supplies	0.00		0.00	21.38	43,650.37 DB
1	CP	2024-02-20	AP	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	43,561.66 DB
1	CP	2024-02-20	AP	Newton Power & Light: Power	0.00		0.00	152.61	43,409.05 DB
1	JN	2024-02-20	BK000001	Deposit	0.00		288.62	0.00	43,697.67 DB
1	CP	2024-02-20	100231	Newton Insurance Brokers: Insurance	0.00		0.00	2,085.75	41,611.92 DB
1	CP	2024-02-20	100230	Western Widgets: Widget Purchases - Jan	0.00		0.00	3,109.77	38,502.15 DB
1	CP	2024-02-20	100229	Widgets International: Widget Purchases - Jan	0.00		0.00	12,736.91	25,765.24 DB
1	CP	2024-02-20	100228	Newton Distributors: Widget Purchases - Jan	0.00		0.00	8,491.28	17,273.96 DB
1	CP	2024-02-20	100227	Newton Standard: Sub to Jan	0.00		0.00	50.62	17,223.34 DB
1	CP	2024-02-20	100226	Post Haste: Courier	0.00		0.00	40.28	17,183.06 DB
1	CP	2024-02-20	100225	Newton Transport: Deliveries	0.00		0.00	169.48	17,013.58 DB
1	CP	2024-02-20	100224	Telecom: Phone - Jan	0.00		0.00	482.34	16,531.24 DB
1	CP	2024-02-20	100223	Radio Newton: Advertising	0.00		0.00	675.00	15,856.24 DB
1	CP	2024-02-20	100222	Newton Standard: Advertising	0.00		0.00	4,050.00	11,806.24 DB
1	CR	2024-02-20	116	J Smith & Sons Ltd: 1876	0.00		200.25	0.00	12,006.49 DB
1	CR	2024-02-20	117	Autumn Fabrix Ltd: 1874	0.00		360.00	0.00	12,366.49 DB
1	CR	2024-02-20	118	Brown Suppliers: 1871, 1875, 1880, 1884	0.00		1,898.15	0.00	14,264.64 DB
1	CP	2024-02-20	200100	Beetle Suppliers Limited: 11025	0.00		0.00	3,897.40	10,367.24 DB
1	CP	2024-02-20	200101	Canon Photocopiers: AP, 103247	0.00		0.00	121.36	10,245.88 DB
1	CP	2024-02-20	200102	Casbah Suppliers Int: 11025	0.00		0.00	2,417.62	7,828.26 DB
1	CP	2024-02-20	200103	Newton Herald: 356787, 369719	0.00		0.00	425.24	7,403.02 DB
1	CP	2024-02-20	200104	Newton Power: 1228365	0.00		0.00	115.09	7,287.93 DB
1	CP	2024-02-20	200105	Newton Properties: AP	0.00		0.00	618.75	6,669.18 DB
1	CP	2024-02-20	200106	Newton Stationers: 1652, 1652	0.00		0.00	87.18	6,582.00 DB
1	CP	2024-02-20	200107	Telecom Newton	0.00		0.00	156.74	6,425.26 DB
1	CR	2024-02-20	115	The Winter Bakery: 1879	0.00		1,325.26	0.00	7,750.52 DB
1	CP	2024-02-21	100232	Herman Melville: Casual Wages	0.00		0.00	135.00	7,615.52 DB
1	CR	2024-02-21		Sales	0.00		4,535.27	0.00	12,150.79 DB
1	CR	2024-02-22	112	Rose Tinted Optometrists: 1878	0.00		507.38	0.00	12,658.17 DB
1	CR	2024-02-22	113	Summer Fashions: 1870, 1887	0.00		1,209.95	0.00	13,868.12 DB
1	CR	2024-02-22	114	Spring Cleaners Ltd: 1872, 1877, 1881, 1886	0.00		2,220.36	0.00	16,088.48 DB
1	CR	2024-02-22	111	Green's Garden Depot: 1869, 1883	0.00		1,418.62	0.00	17,507.10 DB
1	CR	2024-02-25		The Widget Man: Sale	0.00		8,477.84	0.00	25,984.94 DB
1	CR	2024-02-28		Sales	0.00		4,081.75	0.00	30,066.69 DB
1	CP	2024-02-28	100234	Widget Machines: Widget Sprongle Beater	0.00		0.00	9,556.88	20,509.81 DB
1	CP	2024-02-28	AP	Bank: Bank Fees	0.00		0.00	76.78	20,433.03 DB
1	CP	2024-02-28	100233	Dymocks: Photocopy Paper	0.00		0.00	56.81	20,376.22 DB
1	CP	2024-03-03	AP	Newton Properties: Rent	0.00		0.00	2,088.28	18,287.94 DB
1	CP	2024-03-03	AP	Ralph Bigshot: Monthly Drawings	0.00		0.00	2,812.50	15,475.44 DB
1	CR	2024-03-04		Sales	0.00		7,630.05	0.00	23,105.49 DB
1	CP	2024-03-06	100235	Newton Superette: Office Supplies	0.00		0.00	25.31	23,080.18 DB
1	CP	2024-03-07	100236	Herman Melville: Casual Wages	0.00		0.00	742.50	22,337.68 DB
1	CR	2024-03-07		Sales	0.00		4,530.74	0.00	26,868.42 DB
1	CR	2024-03-11		Sales	0.00		8,393.06	0.00	35,261.48 DB
1	CR	2024-03-14		Sales	0.00		5,572.80	0.00	40,834.28 DB
1	CP	2024-03-14	100237	Newton Mechanical: Repair WidgetMaker 3000	0.00		0.00	984.09	39,850.19 DB
1	CP	2024-03-15	100238	Dymocks: Stationery	0.00		0.00	56.19	39,794.00 DB
1	CR	2024-03-18		Sales	0.00		10,910.98	0.00	50,704.98 DB
1	JN	2024-03-20	BK000002	Deposit	0.00		5,651.53	0.00	56,356.51 DB
1	CP	2024-03-20	100239	Newton Superette: Office Supplies	0.00		0.00	22.50	56,334.01 DB
1	CP	2024-03-20	200108	Beetle Suppliers Limited: 11058	0.00		0.00	3,128.72	53,205.29 DB
1	CP	2024-03-20	200109	Canon Photocopiers: AP, 116172	0.00		0.00	115.73	53,089.56 DB
1	CP	2024-03-20	200110	Casbah Suppliers Int: 11056	0.00		0.00	2,121.75	50,967.81 DB
1	CP	2024-03-20	200111	Newton Herald: 382157, 394627	0.00		0.00	425.24	50,542.57 DB
1	CP	2024-03-20	200112	Newton Power: 1308403	0.00		0.00	113.96	50,428.61 DB
1	CP	2024-03-20	200113	Newton Properties: AP	0.00		0.00	618.75	49,809.86 DB
1	CP	2024-03-20	200114	Newton Stationers: 1652	0.00		0.00	36.56	49,773.30 DB
1	CP	2024-03-20	200115	Telecom Newton	0.00		0.00	169.05	49,604.25 DB
1	CR	2024-03-21	110	Brown Suppliers: 1892, 1898, 1904, 1906	0.00		2,885.45	0.00	52,489.70 DB
1	CR	2024-03-21	109	The Winter Bakery: 1894	0.00		446.96	0.00	52,936.66 DB
1	CR	2024-03-21	108	Spring Cleaners Ltd: 1893	0.00		708.75	0.00	53,645.41 DB
1	CR	2024-03-21		Sales	0.00		6,687.36	0.00	60,332.77 DB
1	CP	2024-03-21	100240	Herman Melville: Casual Wages	0.00		0.00	742.50	59,590.27 DB
1	CP	2024-03-22	100246	Post Haste: Courier	0.00		0.00	79.31	59,510.96 DB
1	CP	2024-03-22	100248	Widgets International: Widget Purchases - Feb	0.00		0.00	16,144.52	43,366.44 DB
1	CP	2024-03-22	100249	Western Widgets: Widget Purchases - Feb	0.00		0.00	3,742.82	39,623.62 DB
1	CP	2024-03-22	100241	Newton Council: Rates	0.00		0.00	843.75	38,779.87 DB
1	CP	2024-03-22	AP	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	38,691.16 DB
1	CP	2024-03-22	AP	Newton Power & Light: Power	0.00		0.00	124.59	38,566.57 DB
1	CP	2024-03-22	100245	Newton Transport: Deliveries	0.00		0.00	136.07	38,430.50 DB
1	CP	2024-03-22	100247	Newton Distributors: Widget Purchases - Feb	0.00		0.00	10,763.01	27,667.49 DB
1	CP	2024-03-22	100244	Telecom: Phone - Feb	0.00		0.00	518.46	27,149.03 DB
