date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:32	39265/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:31%20GMT	https://cognito.co.nz/manual/	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/index.html	(from )
20:28:36	3189/3189	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202022%2002:03:24%20GMT	https://cognito.co.nz/manual/help.css	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/help.css	(from https://cognito.co.nz/manual/)
20:28:39	10591/10591	---M--	200	added ('OK')	text/css	date:Thu,%2001%20May%202025%2003:19:36%20GMT	https://cognito.co.nz/manual/moneyworks_documentation.css?a=6	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_documentation3c9e.css	(from https://cognito.co.nz/manual/)
20:28:42	217/217	---M--	302	error ('Found')	text/html	date:Mon,%2009%20Jun%202025%2018:28:42%20GMT	https://cognito.co.nz/manual/css/noscript.css	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/css/noscript.2.delayed	(from https://cognito.co.nz/manual/)
20:28:47	39265/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:45%20GMT	https://cognito.co.nz/manual/moneyworks_index.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_index.html	(from https://cognito.co.nz/manual/)
20:28:50	10282/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:48%20GMT	https://cognito.co.nz/manual/moneyworks_introduction_welcome_to_moneyworks.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_introduction_welcome_to_moneyworks.html	(from https://cognito.co.nz/manual/)
20:28:56	132996/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:53%20GMT	https://cognito.co.nz/manual/moneyworks_index_extended.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_index_extended.html	(from https://cognito.co.nz/manual/)
20:28:56	10433/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:56%20GMT	https://cognito.co.nz/manual/moneyworks_introduction_using_this_guide.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_introduction_using_this_guide.html	(from https://cognito.co.nz/manual/)
20:29:00	11583/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:28:59%20GMT	https://cognito.co.nz/manual/moneyworks_introduction_if_you_have_problems.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_introduction_if_you_have_problems.html	(from https://cognito.co.nz/manual/)
20:29:03	10264/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:02%20GMT	https://cognito.co.nz/manual/moneyworks_introduction_installing_moneyworks.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_introduction_installing_moneyworks.html	(from https://cognito.co.nz/manual/)
20:29:06	9379/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:05%20GMT	https://cognito.co.nz/manual/moneyworks_introduction_the_first_time_you_run_moneyworks.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_introduction_the_first_time_you_run_moneyworks.html	(from https://cognito.co.nz/manual/)
20:29:10	10257/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:09%20GMT	https://cognito.co.nz/manual/moneyworks_starting_getting_started.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_getting_started.html	(from https://cognito.co.nz/manual/)
20:29:14	12367/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:13%20GMT	https://cognito.co.nz/manual/moneyworks_starting_quick_start.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_quick_start.html	(from https://cognito.co.nz/manual/)
20:29:17	10768/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:16%20GMT	https://cognito.co.nz/manual/moneyworks_starting_setup_information_required.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_setup_information_required.html	(from https://cognito.co.nz/manual/)
20:29:22	10434/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:20%20GMT	https://cognito.co.nz/manual/moneyworks_starting_creating_your_new_file.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_creating_your_new_file.html	(from https://cognito.co.nz/manual/)
20:29:25	8361/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:24%20GMT	https://cognito.co.nz/manual/moneyworks_starting_setup_information.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_setup_information.html	(from https://cognito.co.nz/manual/)
20:29:29	9303/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:28%20GMT	https://cognito.co.nz/manual/moneyworks_starting_check_your_tax_rates.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_check_your_tax_rates.html	(from https://cognito.co.nz/manual/)
20:29:31	10752/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:31%20GMT	https://cognito.co.nz/manual/moneyworks_starting_entering_outstanding_information.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_starting_entering_outstanding_information.html	(from https://cognito.co.nz/manual/)
